"Group","Keyword","Location","Name","Rating","Reviews","Address","Phone","PlaceId","Website","Latitude","Longitude"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Advanced Concrete Technologies","5","39","11627 SE Morrison St, Portland, OR 97216","(503) 438-6957","ChIJ__8DrpChlVQR4NY37PQsMCY","http://www.advancedconcretetechnologies.net/","45.5170702","-122.54362069999999"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Best in Concrete Services","","","824 SE 174th Ave, Portland, OR 97233","(503) 754-7246","ChIJB9IftSmjlVQR6CtKH2_YtJE","","45.516584699999996","-122.4841812"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","TerraFirma Foundation Systems","4.8","781","13110 SW Wall St, Portland, OR 97223","","ChIJM0VR1BRtlVQRYRtYFCHsCi0","https://www.goterrafirma.com/portland?utm_source=google&utm_medium=GBP-Portland","45.4248072","-122.76139789999999"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Keystone Concrete Driveway Retaining Wall Foundation Contractor of Happy Valley/ Sellwood-Moreland","5","11","5031 SE 174th Ave, Portland, OR 97236","(503) 523-0718","ChIJT0oUlW-flVQRFRfZgZVyaMw","https://keystoneconcretecontractor.com/locations/happy-valley/","45.485751099999995","-122.48539059999999"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Cretec Concrete LLC","4.6","57","11947 NE Brazee St, Portland, OR 97220","(503) 487-5797","ChIJ8Q9r79mjlVQRcLWUbAk5Xic","https://www.cretecconcrete.com/","45.5406919","-122.53971139999999"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Your Concrete Guy","4.5","28","109 SE Alder St, Portland, OR 97214","(503) 928-5922","ChIJyesg0gkKlVQRqTecnsTWwwc","http://yourconcreteguy.com/","45.518161199999994","-122.6644463"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Keystone Concrete Driveway Retaining Wall Foundation Contractor-Lake Oswego/West Linn","4.9","21","1020 SW Taylor St Suite 540, Portland, OR 97205","(503) 606-6900","ChIJlxo0AyQLlVQRlR6zmT5XY8A","https://keystoneconcretecontractor.com/","45.421029","-122.6643373"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Detail Concrete","5","38","3128 SE 90th Pl, Portland, OR 97266","(503) 849-0863","ChIJqxbIEPmhlVQRBC6kBZqk0Bk","https://detailconcretellc.com/","45.499424999999995","-122.5699779"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Rose City Concrete & Construction","3.5","8","3300 NW 185th Ave, Portland, OR 97229","(503) 232-9702","ChIJg4qvo1sPlVQR_rt6sU9LSRs","http://rosecityconcreterepair.com/","45.543498199999995","-122.8663162"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","H2Oregon Concrete LLC","4.8","19","603 SE 153rd Ave, Portland, OR 97233","(971) 340-8208","ChIJ0acgyBKhlVQRf2aZbWnPWeE","","45.5183907","-122.50697509999999"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","King's Tree Service, LLC","4.9","279","380 SW 150th Ave, Beaverton, OR 97006","(971) 221-8526","ChIJ2VIpuCBzlVQR3TVNalb_P8g","https://kingstreeserviceoregon.com/","45.5169904","-122.831048"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","J & F Tree Service Inc","4.4","83","4145 SW Watson Ave, Beaverton, OR 97005","(503) 554-0625","ChIJkZ8PqUgOlVQRiIkwJWhxaYM","https://www.jandftreeservice.com/","45.4897998","-122.8065725"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Evergreen Landscape Care & Tree Services","4.8","33","12725 SW Millikan Way Suite 300, Beaverton, OR 97005","(503) 956-7328","ChIJVT-3EbkNlVQRHHDod9aARGw","https://evergreentreeserviceexperts.com/?utm_source=google&utm_medium=gmb&utm_campaign=evergreen-landscape-care-t-865","45.4897535","-122.80647119999999"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Monkeyman's Tree Service","4.9","670","17280 Lower Boones Ferry Rd, Lake Oswego, OR 97035","(844) 708-4251","ChIJU6ubFfQJlVQRFDLA6Sc8BHc","https://monkeymans.com/","45.4009643","-122.7347277"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","For The Love Of Trees, LLC","4.8","55","4550 SW Betts Ave #1996, Beaverton, OR 97005","(503) 515-9520","ChIJ47p-5skOlVQREQjkHCzRqb0","https://www.fortheloveoftrees.com/","45.4862062","-122.8014887"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Peters Tree Service","5","5","14990 SW Telluride Terrace, Beaverton, OR 97007","(503) 828-6823","ChIJeSeAhpUNlVQRI2KqAGFDfcc","http://www.peterstreeservice.com/","45.4596589","-122.83084699999999"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Beaver Tree Service Inc.","4.9","15","17455 SW Farmington Rd, Beaverton, OR 97007","(503) 224-1338","ChIJecVlQ24OlVQRjWbesl_pezo","https://beavertree.net/?utm_source=GBP&utm_medium=organic","45.4801478","-122.8573392"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Peter's Tree Service LLC","4.9","129","","(503) 828-6823","ChIJr2FRPegNlVQR_Emw0-TPFFo","https://peterstreeservice.com/","45.499891999999996","-122.7419264"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Urban Forest Pro","4.8","287","2214 NW 21st Ave, Portland, OR 97209","(503) 776-0934","ChIJuwBcyLKnlVQRb4DFznWjBdY","https://www.urbanforestprofessionals.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","45.5386981","-122.69464409999999"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Oregon Tree Care","4.9","191","7625 NE Martin Luther King Jr Blvd Ste #A, Portland, OR 97211","(503) 929-9437","ChIJY_GyCV91lVQRsX8LPWiLtRg","https://oregontreecare.com/?utm_source=gmb&utm_medium=organic","45.5783339","-122.66163139999999"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Gentlemens Tree Service","4.9","101","","(503) 926-0364","ChIJecjN9yEMlVQRVFIlB1H5ABw","http://gentlemenstree.com/","45.688412","-122.6528335"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Monkey Tree Service LLC","4.6","60","","(503) 960-5326","ChIJx2vBU0gPlVQRl6UcPJ1JomY","","45.5486995","-122.6528335"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","General Tree Service","4.8","143","6795 SW 111th Ave, Beaverton, OR 97008","(503) 656-2656","ChIJrZOQ5NenlVQRhNguqL8xCzo","https://www.generaltree.com/","45.4709426","-122.791314"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Monster Tree Service of Portland","4.9","197","","(971) 340-4870","ChIJbxsNuSq5lVQRIF4-zwCOYP0","https://www.monstertreeservice.com/portland/","45.5989108","-122.492008"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Greenroad tree service","5","37","","(503) 602-0168","ChIJX2mipTATlVQRsG2sfwfF8a4","https://www.greenroadtsl.com/","45.4819691","-122.7419264"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Lainez R tree service LLC","4.7","26","842 SW Valley Forge Way, Beaverton, OR 97006","(503) 739-6718","ChIJsahEaVsPlVQRV_JPBuHQaDI","","45.5142913","-122.859299"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Colt Tree Service Inc.","4.6","11","6348 SW Seymour St, Portland, OR 97221","(503) 956-7538","ChIJ-SRrkOsLlVQR1m1a1CcjfPg","","45.4889292","-122.7426172"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Watts Tree Service","4.8","57","2074 NE Aloclek Dr Ste 414, Hillsboro, OR 97124","(971) 770-7011","ChIJObwEWiIFlVQRFLhm2ppfBjw","http://wattstreeservice.com/","45.534056799999995","-122.89678479999999"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Evergreen Tree Services","4.6","64","18787 SW Scholls-Sherwood Rd, Sherwood, OR 97140","(503) 625-4595","ChIJuWGRg_pslVQRSBh7cYXVro4","http://www.evergreentsl.com/","45.386044999999996","-122.8678996"
"Tree Service_Beaverton OR","Tree Service","Beaverton OR","Bridgetown Tree Service LLC","5","26","","(888) 423-8733","ChIJn1oAE0AJlVQRhkP1u02AGMo","http://bridgetowntreeservice.com/","45.456618399999996","-122.8135236"
"_undefined","",,"Undefined Gifts","","","","(917) 274-7193","ChIJS0fzVeBcCiQR2pb5TxdpE9g","https://undefinedgifts.com/","46.423669","-129.9427086"
"_undefined","",,"Undefined Ventures","5","1","","","ChIJZ5FVrUJwPyEREiXXyIUx_0s","","46.423669","-129.9427086"
